id,station,median_temp_c,reading_count,readings,trace_id,captured_at,created_at
544,KLGA,4.5,3,"[{""pwsId"": ""KNYNEWYO1974"", ""tempF"": 50.7, ""obsTime"": ""2026-03-24T14:17:29Z"", ""windDir"": 68, ""humidity"": 99, ""pressure"": 30.45, ""windGust"": 9, ""dewpointF"": 49, ""windSpeed"": 7}, {""pwsId"": ""KNYNEWYO1591"", ""tempF"": 40.1, ""obsTime"": ""2026-03-24T14:17:43Z"", ""windDir"": 286, ""humidity"": 41, ""pressure"": 30.37, ""windGust"": 4.5, ""dewpointF"": 18.3, ""windSpeed"": 2.9}, {""pwsId"": ""KNYNEWYO1552"", ""tempF"": 39, ""obsTime"": ""2026-03-24T14:17:00Z"", ""windDir"": 357, ""humidity"": 42, ""pressure"": 30.02, ""windGust"": 18.3, ""dewpointF"": 17.9, ""windSpeed"": 12.5}]",ruth-pws-klga-20260324-141750372,2026-03-24 14:17:50.372+00,2026-03-24 14:17:50.37647+00
545,KMIA,24.11111,2,"[{""pwsId"": ""KFLMIAMI706"", ""tempF"": 75.6, ""obsTime"": ""2026-03-24T14:17:32Z"", ""windDir"": 63, ""humidity"": 66, ""pressure"": 30.15, ""windGust"": 1.1, ""dewpointF"": 63.5, ""windSpeed"": 0.7}, {""pwsId"": ""KFLMIAMI578"", ""tempF"": 75.2, ""obsTime"": ""2026-03-24T14:15:27Z"", ""windDir"": 59, ""humidity"": 66, ""pressure"": 30.12, ""windGust"": 4, ""dewpointF"": 63, ""windSpeed"": 3}]",ruth-pws-kmia-20260324-141750563,2026-03-24 14:17:50.563+00,2026-03-24 14:17:50.568393+00
546,KATL,12.333333,3,"[{""pwsId"": ""KGAATLAN557"", ""tempF"": 53.9, ""obsTime"": ""2026-03-24T14:15:00Z"", ""windDir"": 55, ""humidity"": 31, ""pressure"": 30.28, ""windGust"": 10.3, ""dewpointF"": 24.2, ""windSpeed"": 2}, {""pwsId"": ""KGAHAPEV1"", ""tempF"": 54.4, ""obsTime"": ""2026-03-24T14:17:11Z"", ""windDir"": 135, ""humidity"": 37, ""pressure"": 30.36, ""windGust"": 0, ""dewpointF"": 28.7, ""windSpeed"": 0}, {""pwsId"": ""KGAATLAN378"", ""tempF"": 54.2, ""obsTime"": ""2026-03-24T14:17:45Z"", ""windDir"": 349, ""humidity"": 40, ""pressure"": 29.37, ""windGust"": 5, ""dewpointF"": 30.4, ""windSpeed"": 2}]",ruth-pws-katl-20260324-141750806,2026-03-24 14:17:50.806+00,2026-03-24 14:17:50.808416+00
547,EGLC,13.111111,3,"[{""pwsId"": ""ILONDON828"", ""tempF"": 55.6, ""obsTime"": ""2026-03-24T14:17:00Z"", ""windDir"": 200, ""humidity"": 74, ""pressure"": 29.86, ""windGust"": 3.4, ""dewpointF"": 47.4, ""windSpeed"": 1.8}, {""pwsId"": ""ILONDO873"", ""tempF"": 56.8, ""obsTime"": ""2026-03-24T14:17:42Z"", ""windDir"": 270, ""humidity"": 75, ""pressure"": 30.47, ""windGust"": 4.9, ""dewpointF"": 48.9, ""windSpeed"": 4}, {""pwsId"": ""ILONDO636"", ""tempF"": 54.7, ""obsTime"": ""2026-03-24T14:17:44Z"", ""windDir"": 224, ""humidity"": 80, ""pressure"": 29.86, ""windGust"": 15.9, ""dewpointF"": 48.7, ""windSpeed"": 8.3}]",ruth-pws-eglc-20260324-141750998,2026-03-24 14:17:50.998+00,2026-03-24 14:17:51.000531+00
548,LFPG,18.833334,3,"[{""pwsId"": ""IROISS4"", ""tempF"": 64.4, ""obsTime"": ""2026-03-24T14:17:46Z"", ""windDir"": 285, ""humidity"": 43, ""pressure"": 29.72, ""windGust"": 5.8, ""dewpointF"": 41.5, ""windSpeed"": 3.8}, {""pwsId"": ""ITREMB16"", ""tempF"": 65.9, ""obsTime"": ""2026-03-24T14:17:16Z"", ""windDir"": 135, ""humidity"": 40, ""pressure"": 30.28, ""windGust"": 0, ""dewpointF"": 40.9, ""windSpeed"": 0}, {""pwsId"": ""IMITRY1"", ""tempF"": 66.9, ""obsTime"": ""2026-03-24T14:17:39Z"", ""windDir"": 262, ""humidity"": 45, ""pressure"": 30.23, ""windGust"": 4.9, ""dewpointF"": 45, ""windSpeed"": 4}]",ruth-pws-lfpg-20260324-141751156,2026-03-24 14:17:51.156+00,2026-03-24 14:17:51.158673+00
549,CYYZ,-0.6111111,3,"[{""pwsId"": ""IONTARIO1108"", ""tempF"": 32.8, ""obsTime"": ""2026-03-24T14:15:37Z"", ""windDir"": 146, ""humidity"": 59, ""pressure"": 30.43, ""windGust"": 13, ""dewpointF"": 20, ""windSpeed"": 13}, {""pwsId"": ""ITORON111"", ""tempF"": 30.7, ""obsTime"": ""2026-03-24T14:17:00Z"", ""windDir"": 15, ""humidity"": 65, ""pressure"": 30.36, ""windGust"": 6.9, ""dewpointF"": 20.3, ""windSpeed"": 5.1}, {""pwsId"": ""ITORON175"", ""tempF"": 30.9, ""obsTime"": ""2026-03-24T14:17:40Z"", ""windDir"": 174, ""humidity"": 63, ""pressure"": 30.55, ""windGust"": 6.7, ""dewpointF"": 20.1, ""windSpeed"": 6.4}]",ruth-pws-cyyz-20260324-141751343,2026-03-24 14:17:51.343+00,2026-03-24 14:17:51.3462+00
550,KSEA,6.888889,2,"[{""pwsId"": ""KWASEATT2476"", ""tempF"": 43.7, ""obsTime"": ""2026-03-24T14:18:00Z"", ""windDir"": 286, ""humidity"": 96, ""pressure"": 29.39, ""windGust"": 0, ""dewpointF"": 42.6, ""windSpeed"": 0}, {""pwsId"": ""KWASEATT2470"", ""tempF"": 45.1, ""obsTime"": ""2026-03-24T14:17:00Z"", ""windDir"": 90, ""humidity"": 94, ""pressure"": 29.8, ""windGust"": 1, ""dewpointF"": 43.5, ""windSpeed"": 0}]",ruth-pws-ksea-20260324-141849684,2026-03-24 14:18:49.684+00,2026-03-24 14:18:49.703743+00
551,KDAL,18.222221,3,"[{""pwsId"": ""KTXDALLA1343"", ""tempF"": 65.1, ""obsTime"": ""2026-03-24T14:10:00Z"", ""windDir"": 216, ""humidity"": 59, ""pressure"": 30.11, ""windGust"": 3.4, ""dewpointF"": 50.4, ""windSpeed"": 0.7}, {""pwsId"": ""KTXDALLA1236"", ""tempF"": 64.8, ""obsTime"": ""2026-03-24T14:18:43Z"", ""windDir"": 193, ""humidity"": 62, ""pressure"": 29.54, ""windGust"": 8.7, ""dewpointF"": 51.4, ""windSpeed"": 0}, {""pwsId"": ""KTXDALLA843"", ""tempF"": 64.4, ""obsTime"": ""2026-03-24T14:18:31Z"", ""windDir"": 198, ""humidity"": 61, ""pressure"": 29.55, ""windGust"": 5.8, ""dewpointF"": 50.7, ""windSpeed"": 1.3}]",ruth-pws-kdal-20260324-141849911,2026-03-24 14:18:49.911+00,2026-03-24 14:18:49.914669+00
552,KORD,1.7777778,3,"[{""pwsId"": ""KILROSEM4"", ""tempF"": 35.2, ""obsTime"": ""2026-03-24T14:18:36Z"", ""windDir"": 45, ""humidity"": 68, ""pressure"": 30.45, ""windGust"": 0, ""dewpointF"": 26, ""windSpeed"": 0}, {""pwsId"": ""KILBENSE15"", ""tempF"": 35.2, ""obsTime"": ""2026-03-24T14:17:00Z"", ""windDir"": 168, ""humidity"": 51, ""pressure"": 29.71, ""windGust"": 8.1, ""dewpointF"": 18.9, ""windSpeed"": 7.4}, {""pwsId"": ""KILROSEM2"", ""tempF"": 35.4, ""obsTime"": ""2026-03-24T14:17:45Z"", ""windDir"": 108, ""humidity"": 55, ""pressure"": 30.39, ""windGust"": 15, ""dewpointF"": 20, ""windSpeed"": 7}]",ruth-pws-kord-20260324-141850056,2026-03-24 14:18:50.056+00,2026-03-24 14:18:50.058922+00
553,KLGA,4.5,3,"[{""pwsId"": ""KNYNEWYO1974"", ""tempF"": 50.7, ""obsTime"": ""2026-03-24T14:18:41Z"", ""windDir"": 135, ""humidity"": 99, ""pressure"": 30.45, ""windGust"": 7, ""dewpointF"": 49, ""windSpeed"": 7}, {""pwsId"": ""KNYNEWYO1591"", ""tempF"": 40.1, ""obsTime"": ""2026-03-24T14:18:31Z"", ""windDir"": 328, ""humidity"": 40, ""pressure"": 30.37, ""windGust"": 6.9, ""dewpointF"": 17.8, ""windSpeed"": 5.4}, {""pwsId"": ""KNYNEWYO1552"", ""tempF"": 39, ""obsTime"": ""2026-03-24T14:18:00Z"", ""windDir"": 3, ""humidity"": 43, ""pressure"": 30.02, ""windGust"": 12.5, ""dewpointF"": 18.4, ""windSpeed"": 10.1}]",ruth-pws-klga-20260324-141850198,2026-03-24 14:18:50.198+00,2026-03-24 14:18:50.201516+00
554,KMIA,24.13889,2,"[{""pwsId"": ""KFLMIAMI706"", ""tempF"": 75.7, ""obsTime"": ""2026-03-24T14:18:36Z"", ""windDir"": 38, ""humidity"": 66, ""pressure"": 30.15, ""windGust"": 2.2, ""dewpointF"": 63.7, ""windSpeed"": 0.9}, {""pwsId"": ""KFLMIAMI578"", ""tempF"": 75.2, ""obsTime"": ""2026-03-24T14:15:27Z"", ""windDir"": 59, ""humidity"": 66, ""pressure"": 30.12, ""windGust"": 4, ""dewpointF"": 63, ""windSpeed"": 3}]",ruth-pws-kmia-20260324-141850448,2026-03-24 14:18:50.448+00,2026-03-24 14:18:50.453352+00
555,KATL,12.388889,3,"[{""pwsId"": ""KGAATLAN557"", ""tempF"": 53.9, ""obsTime"": ""2026-03-24T14:15:00Z"", ""windDir"": 55, ""humidity"": 31, ""pressure"": 30.28, ""windGust"": 10.3, ""dewpointF"": 24.2, ""windSpeed"": 2}, {""pwsId"": ""KGAHAPEV1"", ""tempF"": 54.5, ""obsTime"": ""2026-03-24T14:18:11Z"", ""windDir"": 23, ""humidity"": 37, ""pressure"": 30.36, ""windGust"": 2.2, ""dewpointF"": 28.8, ""windSpeed"": 0.7}, {""pwsId"": ""KGAATLAN378"", ""tempF"": 54.3, ""obsTime"": ""2026-03-24T14:18:47Z"", ""windDir"": 307, ""humidity"": 41, ""pressure"": 29.38, ""windGust"": 2, ""dewpointF"": 31.1, ""windSpeed"": 2}]",ruth-pws-katl-20260324-141850707,2026-03-24 14:18:50.707+00,2026-03-24 14:18:50.709623+00
556,EGLC,13.111111,3,"[{""pwsId"": ""ILONDON828"", ""tempF"": 55.6, ""obsTime"": ""2026-03-24T14:18:00Z"", ""windDir"": 207, ""humidity"": 73, ""pressure"": 29.86, ""windGust"": 9.2, ""dewpointF"": 47.1, ""windSpeed"": 6.7}, {""pwsId"": ""ILONDO873"", ""tempF"": 56.8, ""obsTime"": ""2026-03-24T14:18:42Z"", ""windDir"": 292, ""humidity"": 75, ""pressure"": 30.47, ""windGust"": 3.1, ""dewpointF"": 48.9, ""windSpeed"": 2.4}, {""pwsId"": ""ILONDO636"", ""tempF"": 54.7, ""obsTime"": ""2026-03-24T14:18:35Z"", ""windDir"": 136, ""humidity"": 80, ""pressure"": 29.86, ""windGust"": 17.2, ""dewpointF"": 48.7, ""windSpeed"": 7.6}]",ruth-pws-eglc-20260324-141850878,2026-03-24 14:18:50.878+00,2026-03-24 14:18:50.880604+00
557,LFPG,18.88889,3,"[{""pwsId"": ""IROISS4"", ""tempF"": 64.4, ""obsTime"": ""2026-03-24T14:18:42Z"", ""windDir"": 257, ""humidity"": 44, ""pressure"": 29.72, ""windGust"": 6.9, ""dewpointF"": 42.1, ""windSpeed"": 3.8}, {""pwsId"": ""ITREMB16"", ""tempF"": 66, ""obsTime"": ""2026-03-24T14:18:16Z"", ""windDir"": 248, ""humidity"": 41, ""pressure"": 30.27, ""windGust"": 0.7, ""dewpointF"": 41.6, ""windSpeed"": 0}, {""pwsId"": ""IMITRY1"", ""tempF"": 66.9, ""obsTime"": ""2026-03-24T14:18:44Z"", ""windDir"": 310, ""humidity"": 46, ""pressure"": 30.22, ""windGust"": 4.9, ""dewpointF"": 45.5, ""windSpeed"": 2.5}]",ruth-pws-lfpg-20260324-141851047,2026-03-24 14:18:51.047+00,2026-03-24 14:18:51.049232+00
558,CYYZ,-0.7222222,3,"[{""pwsId"": ""IONTARIO1108"", ""tempF"": 32.8, ""obsTime"": ""2026-03-24T14:15:37Z"", ""windDir"": 146, ""humidity"": 59, ""pressure"": 30.43, ""windGust"": 13, ""dewpointF"": 20, ""windSpeed"": 13}, {""pwsId"": ""ITORON111"", ""tempF"": 30.7, ""obsTime"": ""2026-03-24T14:18:00Z"", ""windDir"": 353, ""humidity"": 65, ""pressure"": 30.36, ""windGust"": 3.4, ""dewpointF"": 20.3, ""windSpeed"": 2.2}, {""pwsId"": ""ITORON175"", ""tempF"": 30.7, ""obsTime"": ""2026-03-24T14:18:40Z"", ""windDir"": 184, ""humidity"": 63, ""pressure"": 30.55, ""windGust"": 6.9, ""dewpointF"": 19.9, ""windSpeed"": 6}]",ruth-pws-cyyz-20260324-141851296,2026-03-24 14:18:51.296+00,2026-03-24 14:18:51.299489+00
559,KSEA,6.888889,2,"[{""pwsId"": ""KWASEATT2476"", ""tempF"": 43.7, ""obsTime"": ""2026-03-24T14:18:00Z"", ""windDir"": 286, ""humidity"": 96, ""pressure"": 29.39, ""windGust"": 0, ""dewpointF"": 42.6, ""windSpeed"": 0}, {""pwsId"": ""KWASEATT2470"", ""tempF"": 45.1, ""obsTime"": ""2026-03-24T14:18:00Z"", ""windDir"": 55, ""humidity"": 94, ""pressure"": 29.8, ""windGust"": 1, ""dewpointF"": 43.5, ""windSpeed"": 0}]",ruth-pws-ksea-20260324-141949974,2026-03-24 14:19:49.974+00,2026-03-24 14:19:49.985541+00
560,KDAL,18.222221,3,"[{""pwsId"": ""KTXDALLA1343"", ""tempF"": 65.1, ""obsTime"": ""2026-03-24T14:10:00Z"", ""windDir"": 216, ""humidity"": 59, ""pressure"": 30.11, ""windGust"": 3.4, ""dewpointF"": 50.4, ""windSpeed"": 0.7}, {""pwsId"": ""KTXDALLA1236"", ""tempF"": 64.8, ""obsTime"": ""2026-03-24T14:19:47Z"", ""windDir"": 259, ""humidity"": 62, ""pressure"": 29.54, ""windGust"": 7.2, ""dewpointF"": 51.4, ""windSpeed"": 3.4}, {""pwsId"": ""KTXDALLA843"", ""tempF"": 64.2, ""obsTime"": ""2026-03-24T14:19:35Z"", ""windDir"": 191, ""humidity"": 62, ""pressure"": 29.55, ""windGust"": 3.4, ""dewpointF"": 50.9, ""windSpeed"": 0.9}]",ruth-pws-kdal-20260324-141950296,2026-03-24 14:19:50.296+00,2026-03-24 14:19:50.302254+00
561,KORD,1.8888888,3,"[{""pwsId"": ""KILROSEM4"", ""tempF"": 35.4, ""obsTime"": ""2026-03-24T14:19:30Z"", ""windDir"": 45, ""humidity"": 68, ""pressure"": 30.45, ""windGust"": 0, ""dewpointF"": 26, ""windSpeed"": 0}, {""pwsId"": ""KILBENSE15"", ""tempF"": 35.2, ""obsTime"": ""2026-03-24T14:18:00Z"", ""windDir"": 213, ""humidity"": 51, ""pressure"": 29.71, ""windGust"": 8.1, ""dewpointF"": 18.9, ""windSpeed"": 5.4}, {""pwsId"": ""KILROSEM2"", ""tempF"": 35.4, ""obsTime"": ""2026-03-24T14:18:45Z"", ""windDir"": 331, ""humidity"": 55, ""pressure"": 30.39, ""windGust"": 15, ""dewpointF"": 20, ""windSpeed"": 6}]",ruth-pws-kord-20260324-141950708,2026-03-24 14:19:50.708+00,2026-03-24 14:19:50.712512+00
562,KLGA,4.5,3,"[{""pwsId"": ""KNYNEWYO1974"", ""tempF"": 50.7, ""obsTime"": ""2026-03-24T14:19:35Z"", ""windDir"": 23, ""humidity"": 99, ""pressure"": 30.45, ""windGust"": 7, ""dewpointF"": 49, ""windSpeed"": 7}, {""pwsId"": ""KNYNEWYO1591"", ""tempF"": 40.1, ""obsTime"": ""2026-03-24T14:19:36Z"", ""windDir"": 19, ""humidity"": 39, ""pressure"": 30.36, ""windGust"": 13.6, ""dewpointF"": 17.1, ""windSpeed"": 10.7}, {""pwsId"": ""KNYNEWYO1552"", ""tempF"": 38.5, ""obsTime"": ""2026-03-24T14:19:00Z"", ""windDir"": 221, ""humidity"": 44, ""pressure"": 30.02, ""windGust"": 9.2, ""dewpointF"": 18.5, ""windSpeed"": 3.8}]",ruth-pws-klga-20260324-141950942,2026-03-24 14:19:50.942+00,2026-03-24 14:19:50.945033+00
563,KMIA,24.25,2,"[{""pwsId"": ""KFLMIAMI706"", ""tempF"": 76.1, ""obsTime"": ""2026-03-24T14:19:40Z"", ""windDir"": 291, ""humidity"": 66, ""pressure"": 30.15, ""windGust"": 1.1, ""dewpointF"": 63.9, ""windSpeed"": 0.9}, {""pwsId"": ""KFLMIAMI578"", ""tempF"": 75.2, ""obsTime"": ""2026-03-24T14:15:27Z"", ""windDir"": 59, ""humidity"": 66, ""pressure"": 30.12, ""windGust"": 4, ""dewpointF"": 63, ""windSpeed"": 3}]",ruth-pws-kmia-20260324-141951156,2026-03-24 14:19:51.156+00,2026-03-24 14:19:51.160334+00
564,KATL,12.333333,3,"[{""pwsId"": ""KGAATLAN557"", ""tempF"": 53.9, ""obsTime"": ""2026-03-24T14:15:00Z"", ""windDir"": 55, ""humidity"": 31, ""pressure"": 30.28, ""windGust"": 10.3, ""dewpointF"": 24.2, ""windSpeed"": 2}, {""pwsId"": ""KGAHAPEV1"", ""tempF"": 54.6, ""obsTime"": ""2026-03-24T14:19:11Z"", ""windDir"": 248, ""humidity"": 38, ""pressure"": 30.36, ""windGust"": 1.6, ""dewpointF"": 29.5, ""windSpeed"": 0.9}, {""pwsId"": ""KGAATLAN378"", ""tempF"": 54.2, ""obsTime"": ""2026-03-24T14:19:45Z"", ""windDir"": 44, ""humidity"": 39, ""pressure"": 29.38, ""windGust"": 7, ""dewpointF"": 29.8, ""windSpeed"": 7}]",ruth-pws-katl-20260324-141951367,2026-03-24 14:19:51.367+00,2026-03-24 14:19:51.374707+00
565,EGLC,13,3,"[{""pwsId"": ""ILONDON828"", ""tempF"": 55.4, ""obsTime"": ""2026-03-24T14:19:00Z"", ""windDir"": 186, ""humidity"": 74, ""pressure"": 29.87, ""windGust"": 6.9, ""dewpointF"": 47.3, ""windSpeed"": 4.9}, {""pwsId"": ""ILONDO873"", ""tempF"": 56.8, ""obsTime"": ""2026-03-24T14:19:42Z"", ""windDir"": 270, ""humidity"": 76, ""pressure"": 30.47, ""windGust"": 6, ""dewpointF"": 49.2, ""windSpeed"": 5.8}, {""pwsId"": ""ILONDO636"", ""tempF"": 54.7, ""obsTime"": ""2026-03-24T14:19:44Z"", ""windDir"": 246, ""humidity"": 80, ""pressure"": 29.86, ""windGust"": 11.4, ""dewpointF"": 48.7, ""windSpeed"": 5.1}]",ruth-pws-eglc-20260324-141951623,2026-03-24 14:19:51.623+00,2026-03-24 14:19:51.626001+00
566,LFPG,19,3,"[{""pwsId"": ""IROISS4"", ""tempF"": 64, ""obsTime"": ""2026-03-24T14:19:46Z"", ""windDir"": 326, ""humidity"": 44, ""pressure"": 29.72, ""windGust"": 10.3, ""dewpointF"": 41.7, ""windSpeed"": 5.4}, {""pwsId"": ""ITREMB16"", ""tempF"": 66.2, ""obsTime"": ""2026-03-24T14:19:16Z"", ""windDir"": 135, ""humidity"": 41, ""pressure"": 30.28, ""windGust"": 1.6, ""dewpointF"": 41.8, ""windSpeed"": 1.1}, {""pwsId"": ""IMITRY1"", ""tempF"": 66.9, ""obsTime"": ""2026-03-24T14:19:47Z"", ""windDir"": 278, ""humidity"": 46, ""pressure"": 30.22, ""windGust"": 2.5, ""dewpointF"": 45.5, ""windSpeed"": 1.1}]",ruth-pws-lfpg-20260324-141951919,2026-03-24 14:19:51.919+00,2026-03-24 14:19:51.921783+00
567,CYYZ,-0.7222222,3,"[{""pwsId"": ""IONTARIO1108"", ""tempF"": 32.8, ""obsTime"": ""2026-03-24T14:15:37Z"", ""windDir"": 146, ""humidity"": 59, ""pressure"": 30.43, ""windGust"": 13, ""dewpointF"": 20, ""windSpeed"": 13}, {""pwsId"": ""ITORON111"", ""tempF"": 30.7, ""obsTime"": ""2026-03-24T14:19:00Z"", ""windDir"": 356, ""humidity"": 65, ""pressure"": 30.35, ""windGust"": 5.8, ""dewpointF"": 20.3, ""windSpeed"": 4.5}, {""pwsId"": ""ITORON175"", ""tempF"": 30.7, ""obsTime"": ""2026-03-24T14:19:40Z"", ""windDir"": 184, ""humidity"": 63, ""pressure"": 30.55, ""windGust"": 2.6, ""dewpointF"": 19.9, ""windSpeed"": 2.6}]",ruth-pws-cyyz-20260324-141952118,2026-03-24 14:19:52.118+00,2026-03-24 14:19:52.12078+00
568,KSEA,7,2,"[{""pwsId"": ""KWASEATT2476"", ""tempF"": 44.1, ""obsTime"": ""2026-03-24T14:20:00Z"", ""windDir"": 80, ""humidity"": 96, ""pressure"": 29.4, ""windGust"": 1.1, ""dewpointF"": 43, ""windSpeed"": 0.2}, {""pwsId"": ""KWASEATT2470"", ""tempF"": 45.1, ""obsTime"": ""2026-03-24T14:20:00Z"", ""windDir"": 31, ""humidity"": 94, ""pressure"": 29.81, ""windGust"": 1, ""dewpointF"": 43.5, ""windSpeed"": 0}]",ruth-pws-ksea-20260324-142049705,2026-03-24 14:20:49.705+00,2026-03-24 14:20:49.723289+00
569,KDAL,18.222221,3,"[{""pwsId"": ""KTXDALLA1343"", ""tempF"": 65.1, ""obsTime"": ""2026-03-24T14:10:00Z"", ""windDir"": 216, ""humidity"": 59, ""pressure"": 30.11, ""windGust"": 3.4, ""dewpointF"": 50.4, ""windSpeed"": 0.7}, {""pwsId"": ""KTXDALLA1236"", ""tempF"": 64.8, ""obsTime"": ""2026-03-24T14:20:35Z"", ""windDir"": 262, ""humidity"": 62, ""pressure"": 29.54, ""windGust"": 7.2, ""dewpointF"": 51.4, ""windSpeed"": 1.3}, {""pwsId"": ""KTXDALLA843"", ""tempF"": 64, ""obsTime"": ""2026-03-24T14:20:39Z"", ""windDir"": 188, ""humidity"": 62, ""pressure"": 29.55, ""windGust"": 4.5, ""dewpointF"": 50.7, ""windSpeed"": 2.5}]",ruth-pws-kdal-20260324-142050000,2026-03-24 14:20:50+00,2026-03-24 14:20:50.004638+00
570,KORD,1.8888888,3,"[{""pwsId"": ""KILROSEM4"", ""tempF"": 35.4, ""obsTime"": ""2026-03-24T14:20:42Z"", ""windDir"": 45, ""humidity"": 69, ""pressure"": 30.45, ""windGust"": 0, ""dewpointF"": 26, ""windSpeed"": 0}, {""pwsId"": ""KILBENSE15"", ""tempF"": 35.2, ""obsTime"": ""2026-03-24T14:19:00Z"", ""windDir"": 192, ""humidity"": 51, ""pressure"": 29.71, ""windGust"": 6.9, ""dewpointF"": 18.9, ""windSpeed"": 4.9}, {""pwsId"": ""KILROSEM2"", ""tempF"": 35.4, ""obsTime"": ""2026-03-24T14:19:45Z"", ""windDir"": 37, ""humidity"": 54, ""pressure"": 30.39, ""windGust"": 15, ""dewpointF"": 20, ""windSpeed"": 4}]",ruth-pws-kord-20260324-142050212,2026-03-24 14:20:50.212+00,2026-03-24 14:20:50.216256+00
571,KLGA,4,3,"[{""pwsId"": ""KNYNEWYO1974"", ""tempF"": 50.7, ""obsTime"": ""2026-03-24T14:20:47Z"", ""windDir"": 23, ""humidity"": 99, ""pressure"": 30.45, ""windGust"": 7, ""dewpointF"": 49, ""windSpeed"": 4}, {""pwsId"": ""KNYNEWYO1591"", ""tempF"": 39.2, ""obsTime"": ""2026-03-24T14:20:39Z"", ""windDir"": 34, ""humidity"": 40, ""pressure"": 30.37, ""windGust"": 11.4, ""dewpointF"": 16.9, ""windSpeed"": 7.4}, {""pwsId"": ""KNYNEWYO1552"", ""tempF"": 38.5, ""obsTime"": ""2026-03-24T14:20:00Z"", ""windDir"": 7, ""humidity"": 42, ""pressure"": 30.02, ""windGust"": 6.9, ""dewpointF"": 17.4, ""windSpeed"": 5.8}]",ruth-pws-klga-20260324-142050401,2026-03-24 14:20:50.401+00,2026-03-24 14:20:50.404369+00
572,KMIA,24.38889,2,"[{""pwsId"": ""KFLMIAMI706"", ""tempF"": 76.3, ""obsTime"": ""2026-03-24T14:20:44Z"", ""windDir"": 355, ""humidity"": 65, ""pressure"": 30.15, ""windGust"": 2.2, ""dewpointF"": 63.7, ""windSpeed"": 1.3}, {""pwsId"": ""KFLMIAMI578"", ""tempF"": 75.5, ""obsTime"": ""2026-03-24T14:20:27Z"", ""windDir"": 0, ""humidity"": 67, ""pressure"": 30.12, ""windGust"": 4, ""dewpointF"": 63, ""windSpeed"": 0}]",ruth-pws-kmia-20260324-142050565,2026-03-24 14:20:50.565+00,2026-03-24 14:20:50.569919+00
573,KATL,12.444445,3,"[{""pwsId"": ""KGAATLAN557"", ""tempF"": 54.1, ""obsTime"": ""2026-03-24T14:20:00Z"", ""windDir"": 71, ""humidity"": 31, ""pressure"": 30.28, ""windGust"": 10.3, ""dewpointF"": 23.8, ""windSpeed"": 1.3}, {""pwsId"": ""KGAHAPEV1"", ""tempF"": 54.7, ""obsTime"": ""2026-03-24T14:20:11Z"", ""windDir"": 135, ""humidity"": 37, ""pressure"": 30.36, ""windGust"": 0.7, ""dewpointF"": 28.9, ""windSpeed"": 0.4}, {""pwsId"": ""KGAATLAN378"", ""tempF"": 54.4, ""obsTime"": ""2026-03-24T14:20:48Z"", ""windDir"": 3, ""humidity"": 39, ""pressure"": 29.38, ""windGust"": 7, ""dewpointF"": 30, ""windSpeed"": 1}]",ruth-pws-katl-20260324-142050768,2026-03-24 14:20:50.768+00,2026-03-24 14:20:50.772576+00
574,EGLC,13,3,"[{""pwsId"": ""ILONDON828"", ""tempF"": 55.4, ""obsTime"": ""2026-03-24T14:20:00Z"", ""windDir"": 265, ""humidity"": 74, ""pressure"": 29.86, ""windGust"": 9.2, ""dewpointF"": 47.3, ""windSpeed"": 6.9}, {""pwsId"": ""ILONDO873"", ""tempF"": 56.6, ""obsTime"": ""2026-03-24T14:20:42Z"", ""windDir"": 292, ""humidity"": 76, ""pressure"": 30.47, ""windGust"": 6, ""dewpointF"": 49.1, ""windSpeed"": 5.8}, {""pwsId"": ""ILONDO636"", ""tempF"": 54.9, ""obsTime"": ""2026-03-24T14:20:34Z"", ""windDir"": 229, ""humidity"": 80, ""pressure"": 29.86, ""windGust"": 14.8, ""dewpointF"": 48.9, ""windSpeed"": 10.7}]",ruth-pws-eglc-20260324-142050947,2026-03-24 14:20:50.947+00,2026-03-24 14:20:50.949203+00
575,LFPG,18.833334,3,"[{""pwsId"": ""IROISS4"", ""tempF"": 64, ""obsTime"": ""2026-03-24T14:20:42Z"", ""windDir"": 301, ""humidity"": 45, ""pressure"": 29.71, ""windGust"": 10.3, ""dewpointF"": 42.3, ""windSpeed"": 2.7}, {""pwsId"": ""ITREMB16"", ""tempF"": 65.9, ""obsTime"": ""2026-03-24T14:20:16Z"", ""windDir"": 338, ""humidity"": 41, ""pressure"": 30.28, ""windGust"": 2.2, ""dewpointF"": 41.5, ""windSpeed"": 0.7}, {""pwsId"": ""IMITRY1"", ""tempF"": 66.9, ""obsTime"": ""2026-03-24T14:20:38Z"", ""windDir"": 134, ""humidity"": 46, ""pressure"": 30.23, ""windGust"": 2.5, ""dewpointF"": 45.5, ""windSpeed"": 0.4}]",ruth-pws-lfpg-20260324-142051136,2026-03-24 14:20:51.136+00,2026-03-24 14:20:51.139078+00
