id,station,median_temp_c,reading_count,readings,trace_id,captured_at,created_at
11,KDAL,16.11111,3,"[{""pwsId"": ""KTXDALLA1343"", ""tempF"": 61, ""obsTime"": ""2026-03-24T12:55:00Z"", ""windDir"": 118, ""humidity"": 59, ""pressure"": 30.1, ""windGust"": 1.3, ""dewpointF"": 46.6, ""windSpeed"": 0.2}, {""pwsId"": ""KTXDALLA1236"", ""tempF"": 61.2, ""obsTime"": ""2026-03-24T13:18:44Z"", ""windDir"": 340, ""humidity"": 63, ""pressure"": 29.53, ""windGust"": 11.6, ""dewpointF"": 48.6, ""windSpeed"": 2.2}, {""pwsId"": ""KTXDALLA843"", ""tempF"": 60.3, ""obsTime"": ""2026-03-24T13:18:33Z"", ""windDir"": 186, ""humidity"": 62, ""pressure"": 29.54, ""windGust"": 1.1, ""dewpointF"": 47.1, ""windSpeed"": 0.9}]",ruth-pws-kdal-20260324-131849971,2026-03-24 13:18:49.971+00,2026-03-24 13:18:49.973832+00
12,KORD,0.6111111,3,"[{""pwsId"": ""KILROSEM4"", ""tempF"": 33.1, ""obsTime"": ""2026-03-24T13:18:35Z"", ""windDir"": 45, ""humidity"": 71, ""pressure"": 30.44, ""windGust"": 0, ""dewpointF"": 25, ""windSpeed"": 0}, {""pwsId"": ""KILBENSE15"", ""tempF"": 33.1, ""obsTime"": ""2026-03-24T13:17:00Z"", ""windDir"": 184, ""humidity"": 55, ""pressure"": 29.7, ""windGust"": 8.1, ""dewpointF"": 18.7, ""windSpeed"": 4.3}, {""pwsId"": ""KILROSEM2"", ""tempF"": 33.5, ""obsTime"": ""2026-03-24T13:17:45Z"", ""windDir"": 171, ""humidity"": 57, ""pressure"": 30.38, ""windGust"": 13, ""dewpointF"": 20, ""windSpeed"": 2}]",ruth-pws-kord-20260324-131850247,2026-03-24 13:18:50.247+00,2026-03-24 13:18:50.250237+00
13,KLGA,2.7777777,3,"[{""pwsId"": ""KNYNEWYO1974"", ""tempF"": 50.7, ""obsTime"": ""2026-03-24T13:18:40Z"", ""windDir"": 158, ""humidity"": 99, ""pressure"": 30.42, ""windGust"": 7, ""dewpointF"": 49, ""windSpeed"": 7}, {""pwsId"": ""KNYNEWYO1591"", ""tempF"": 37, ""obsTime"": ""2026-03-24T13:18:32Z"", ""windDir"": 21, ""humidity"": 53, ""pressure"": 30.35, ""windGust"": 11.4, ""dewpointF"": 21.6, ""windSpeed"": 8.9}, {""pwsId"": ""KNYNEWYO1552"", ""tempF"": 37, ""obsTime"": ""2026-03-24T13:18:00Z"", ""windDir"": 175, ""humidity"": 55, ""pressure"": 29.99, ""windGust"": 2.2, ""dewpointF"": 22.4, ""windSpeed"": 1.6}]",ruth-pws-klga-20260324-131850484,2026-03-24 13:18:50.484+00,2026-03-24 13:18:50.488292+00
14,KMIA,21.194445,2,"[{""pwsId"": ""KFLMIAMI706"", ""tempF"": 70.3, ""obsTime"": ""2026-03-24T13:18:36Z"", ""windDir"": 340, ""humidity"": 75, ""pressure"": 30.15, ""windGust"": 2.2, ""dewpointF"": 62.1, ""windSpeed"": 2}, {""pwsId"": ""KFLMIAMI578"", ""tempF"": 70, ""obsTime"": ""2026-03-24T13:15:27Z"", ""windDir"": 349, ""humidity"": 83, ""pressure"": 30.12, ""windGust"": 5, ""dewpointF"": 64, ""windSpeed"": 0}]",ruth-pws-kmia-20260324-131850698,2026-03-24 13:18:50.698+00,2026-03-24 13:18:50.701029+00
15,KATL,11.611111,3,"[{""pwsId"": ""KGAATLAN557"", ""tempF"": 52.9, ""obsTime"": ""2026-03-24T13:15:00Z"", ""windDir"": 62, ""humidity"": 32, ""pressure"": 30.28, ""windGust"": 3.4, ""dewpointF"": 23.8, ""windSpeed"": 0.7}, {""pwsId"": ""KGAHAPEV1"", ""tempF"": 52.8, ""obsTime"": ""2026-03-24T13:18:11Z"", ""windDir"": 203, ""humidity"": 37, ""pressure"": 30.36, ""windGust"": 2.2, ""dewpointF"": 27.3, ""windSpeed"": 1.6}, {""pwsId"": ""KGAATLAN378"", ""tempF"": 53, ""obsTime"": ""2026-03-24T13:18:49Z"", ""windDir"": 29, ""humidity"": 44, ""pressure"": 29.37, ""windGust"": 1, ""dewpointF"": 31.7, ""windSpeed"": 1}]",ruth-pws-katl-20260324-131850916,2026-03-24 13:18:50.916+00,2026-03-24 13:18:50.918606+00
16,EGLC,13,3,"[{""pwsId"": ""ILONDON828"", ""tempF"": 55.4, ""obsTime"": ""2026-03-24T13:18:00Z"", ""windDir"": 123, ""humidity"": 74, ""pressure"": 29.91, ""windGust"": 8.1, ""dewpointF"": 47.3, ""windSpeed"": 5.4}, {""pwsId"": ""ILONDO873"", ""tempF"": 56.1, ""obsTime"": ""2026-03-24T13:18:42Z"", ""windDir"": 248, ""humidity"": 77, ""pressure"": 30.5, ""windGust"": 4.4, ""dewpointF"": 48.9, ""windSpeed"": 4.4}, {""pwsId"": ""ILONDO636"", ""tempF"": 54.7, ""obsTime"": ""2026-03-24T13:18:48Z"", ""windDir"": 228, ""humidity"": 80, ""pressure"": 29.89, ""windGust"": 13.7, ""dewpointF"": 48.7, ""windSpeed"": 8.5}]",ruth-pws-eglc-20260324-131851144,2026-03-24 13:18:51.144+00,2026-03-24 13:18:51.146985+00
17,LFPG,18.555555,3,"[{""pwsId"": ""IROISS4"", ""tempF"": 64.9, ""obsTime"": ""2026-03-24T13:18:43Z"", ""windDir"": 182, ""humidity"": 40, ""pressure"": 29.75, ""windGust"": 6.9, ""dewpointF"": 40.1, ""windSpeed"": 3.4}, {""pwsId"": ""ITREMB16"", ""tempF"": 65.4, ""obsTime"": ""2026-03-24T13:18:16Z"", ""windDir"": 135, ""humidity"": 42, ""pressure"": 30.31, ""windGust"": 2.9, ""dewpointF"": 41.7, ""windSpeed"": 2}, {""pwsId"": ""IMITRY1"", ""tempF"": 66, ""obsTime"": ""2026-03-24T13:18:43Z"", ""windDir"": 281, ""humidity"": 46, ""pressure"": 30.26, ""windGust"": 2.5, ""dewpointF"": 44.8, ""windSpeed"": 1.1}]",ruth-pws-lfpg-20260324-131851438,2026-03-24 13:18:51.438+00,2026-03-24 13:18:51.440269+00
18,CYYZ,-1.7222222,3,"[{""pwsId"": ""IONTARIO1108"", ""tempF"": 30.6, ""obsTime"": ""2026-03-24T13:15:23Z"", ""windDir"": 195, ""humidity"": 67, ""pressure"": 30.44, ""windGust"": 7, ""dewpointF"": 21, ""windSpeed"": 3}, {""pwsId"": ""ITORON111"", ""tempF"": 27.5, ""obsTime"": ""2026-03-24T13:18:00Z"", ""windDir"": 333, ""humidity"": 71, ""pressure"": 30.37, ""windGust"": 1.1, ""dewpointF"": 19.4, ""windSpeed"": 1.1}, {""pwsId"": ""ITORON175"", ""tempF"": 28.9, ""obsTime"": ""2026-03-24T13:18:40Z"", ""windDir"": 316, ""humidity"": 66, ""pressure"": 30.56, ""windGust"": 2.9, ""dewpointF"": 19.2, ""windSpeed"": 2.9}]",ruth-pws-cyyz-20260324-131851624,2026-03-24 13:18:51.624+00,2026-03-24 13:18:51.626735+00
19,KSEA,6.388889,2,"[{""pwsId"": ""KWASEATT2476"", ""tempF"": 43.5, ""obsTime"": ""2026-03-24T13:19:00Z"", ""windDir"": 231, ""humidity"": 95, ""pressure"": 29.44, ""windGust"": 1.1, ""dewpointF"": 42.2, ""windSpeed"": 0.9}, {""pwsId"": ""KWASEATT2470"", ""tempF"": 43.5, ""obsTime"": ""2026-03-24T13:19:00Z"", ""windDir"": 80, ""humidity"": 94, ""pressure"": 29.85, ""windGust"": 3, ""dewpointF"": 41.9, ""windSpeed"": 0}]",ruth-pws-ksea-20260324-131949691,2026-03-24 13:19:49.691+00,2026-03-24 13:19:49.709575+00
20,KDAL,16.11111,3,"[{""pwsId"": ""KTXDALLA1343"", ""tempF"": 61, ""obsTime"": ""2026-03-24T12:55:00Z"", ""windDir"": 118, ""humidity"": 59, ""pressure"": 30.1, ""windGust"": 1.3, ""dewpointF"": 46.6, ""windSpeed"": 0.2}, {""pwsId"": ""KTXDALLA1236"", ""tempF"": 61.2, ""obsTime"": ""2026-03-24T13:19:32Z"", ""windDir"": 187, ""humidity"": 63, ""pressure"": 29.53, ""windGust"": 11.6, ""dewpointF"": 48.6, ""windSpeed"": 2.2}, {""pwsId"": ""KTXDALLA843"", ""tempF"": 60.3, ""obsTime"": ""2026-03-24T13:19:37Z"", ""windDir"": 184, ""humidity"": 62, ""pressure"": 29.54, ""windGust"": 3.4, ""dewpointF"": 47.1, ""windSpeed"": 1.1}]",ruth-pws-kdal-20260324-131949846,2026-03-24 13:19:49.846+00,2026-03-24 13:19:49.849638+00
