id,trace_id,station,action,side,bucket,token_id,amount,shares,price,order_id,fill_status,signal_type,market_snapshot,dry_run,created_at
19,ruth-pws-klga-20260324-170156281,KLGA,BUY,YES,44-45°F,11264762238868470392969284368589596929044651568997101186373153312841457562692,5,49.100906,0.11,0x6acbc4097a6818d2a6093467f3b281013c953fdc4c65b3cd19145da1b81db624,FILLED,PWS,"{""noPrice"": 0.89, ""yesPrice"": 0.11}",f,2026-03-24 17:02:02.555898+00
20,ruth-metar-cyyz-20260324-170728951,CYYZ,SELL,YES,4°C,65489536437335779855697623373662351745511058359038730306503355620949601689454,,17.41,,0xabcad6874a239124e70a72e0b06a48c4a7adbde51c8835c422f8c726b4061055,FILLED,PWS_EXIT,,f,2026-03-24 17:07:35.626654+00
21,ruth-pws-cyyz-20260324-170850839,CYYZ,BUY,YES,5°C,105972235687674764043080231702092295160802616720727649532000606126522150228702,5,8.606556,0.465,0x6417b302c30c129d0f5d692c67ba5f14f1211c233d3a332ecd0cd493bf8166e1,FILLED,PWS,"{""noPrice"": 0.535, ""yesPrice"": 0.465}",f,2026-03-24 17:08:57.23288+00
22,ruth-pws-katl-20260324-171050463,KATL,BUY,YES,66-67°F,36932432079600826968927214223778798554412393677861074672902948860551104778583,5,11.90476,0.415,0x0b98128c3b55470ca9b02b10c5f7aa64c73f39dda45fbe043931a66b01a351d5,FILLED,PWS,"{""noPrice"": 0.585, ""yesPrice"": 0.415}",f,2026-03-24 17:10:56.821141+00
23,marty-manual-20260324173651960,KLGA,BUY,YES,44-45F,11264762238868470392969284368589596929044651568997101186373153312841457562692,5,21.666664,0.19,0xbf38f1d7fe5037722bc5a14789049e7c23131777e8ec79a31f730920c4faed89,FILLED,MANUAL,,f,2026-03-24 17:36:58.186322+00
24,marty-manual-20260324174023015,KATL,BUY,YES,64-65°F,84935559489854017001356882174409503951169481584427012568916223633752789357264,5,56.11111,0.06,0xbe6b0ae1884f2fe6c810f098b2e404d67791f78d7c66fadfe44ce424440af70e,FILLED,MANUAL,,f,2026-03-24 17:40:29.297127+00
25,marty-manual-20260324174912331,KATL,SELL,YES,"",84935559489854017001356882174409503951169481584427012568916223633752789357264,,79.27,,0x641a08cc026f959055bb69ba96a75cafb6c81121813aa84a3764a809869565e1,FILLED,MANUAL,,f,2026-03-24 17:49:18.601737+00
26,marty-manual-20260324174927192,KATL,BUY,YES,66-67°F,36932432079600826968927214223778798554412393677861074672902948860551104778583,10,20.408161,0.455,0xc45dbcb826b3c1fb860beadcae9d2fe0a90665d9fde1b8a6ace4a225036a8a6b,FILLED,MANUAL,,f,2026-03-24 17:49:33.429064+00
27,marty-manual-20260324175647817,KLGA,SELL,YES,"",11264762238868470392969284368589596929044651568997101186373153312841457562692,,70.76,,0xd7307fd341ef32d2de3fb31aaf22d0dacf9a67daa9bb7d71f47464265e3410dd,FILLED,MANUAL,,f,2026-03-24 17:56:54.042426+00
28,marty-manual-20260324175702851,KLGA,BUY,YES,46-47°F,9310629107699034060870352950474609210450267081288242348911458743337594887012,5,10.869564,0.455,0x761bd3390b0602d8cec017e689c7a44c0a8f0493f8abc26bc76f5332477c1a75,FILLED,MANUAL,,f,2026-03-24 17:57:09.156401+00
29,marty-manual-20260324175904983,KORD,BUY,YES,46-47°F,30637460875149049524061518024985870554068706593108950376581343162301026721005,5,81.48084,0.0445,0x6d8b496a5cd8c62e972b6fb9c7dd4de8eaee49206887259c91c0a7daa52b1117,FILLED,MANUAL,,f,2026-03-24 17:59:11.29274+00
