id,station,temp_c,dewpoint_c,humidity_pct,wind_deg,wind_kt,gust_kt,visibility_m,cloud_layers,pressure_hpa,max_temp_c_6h,metar_raw,valid_utc,captured_at,trace_id,created_at
51,EGLC,12,8,77,220,15,,9999,"[{""altFt"": 1600, ""cover"": ""OVC""}]",1009,,EGLC 241550Z AUTO 22015KT 9999 OVC016 12/08 Q1009,2026-03-24 15:50:00+00,2026-03-24 16:00:02.49+00,ruth-metar-eglc-20260324-160002490,2026-03-24 16:00:02.531537+00
52,KSEA,6.1,6.1,100,0,0,,,"[{""altFt"": 200, ""cover"": ""FEW""}, {""altFt"": 500, ""cover"": ""SCT""}, {""altFt"": 2800, ""cover"": ""OVC""}, {""altFt"": 500, ""cover"": ""SCT""}]",,,KSEA 241553Z 00000KT 1SM R16L/0200VP6000FT -RA BR FEW002 SCT005 OVC028 06/06 A2975 RMK AO2 TWR VIS 2 PRESFR SLP081 SCT005 V BKN P0022 T00610061 $,2026-03-24 15:53:00+00,2026-03-24 16:00:02.531+00,ruth-metar-ksea-20260324-160002531,2026-03-24 16:00:02.543105+00
53,KMIA,26.1,13.3,45,,,,,[],,,KMIA 241553Z VRB06KT 10SM CLR 26/13 A3010 RMK AO2 SLP194 T02610133,2026-03-24 15:53:00+00,2026-03-24 16:00:02.542+00,ruth-metar-kmia-20260324-160002542,2026-03-24 16:00:02.554257+00
54,KDAL,21.1,12.2,57,130,9,15,,[],,,KDAL 241553Z 13009G15KT 10SM CLR 21/12 A3011 RMK AO2 SLP189 T02110122 $,2026-03-24 15:53:00+00,2026-03-24 16:00:02.579+00,ruth-metar-kdal-20260324-160002579,2026-03-24 16:00:02.587195+00
55,CYYZ,1,-9,47,220,8,,,"[{""altFt"": 12000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""BKN""}]",,,CYYZ 241600Z 22008KT 200V280 15SM BKN120 BKN250 01/M09 A3038 RMK AC5CI1 SLP298,2026-03-24 16:00:00+00,2026-03-24 16:07:40.95+00,ruth-metar-cyyz-20260324-160740950,2026-03-24 16:07:40.970497+00
56,LFPG,17,4,42,210,14,,,[],1016,,LFPG 241608Z 21014KT CAVOK 17/04 Q1016 NOSIG,2026-03-24 16:08:00+00,2026-03-24 16:10:32.097+00,ruth-metar-lfpg-20260324-161032097,2026-03-24 16:10:32.110318+00
57,KSEA,6.7,6.1,96,160,6,,,"[{""altFt"": 500, ""cover"": ""SCT""}, {""altFt"": 1200, ""cover"": ""BKN""}, {""altFt"": 3300, ""cover"": ""OVC""}]",,,KSEA 241617Z 16006KT 2 1/2SM R16L/4000VP6000FT -RA BR SCT005 BKN012 OVC033 07/06 A2975 RMK AO2 P0008 T00670061 $,2026-03-24 16:17:00+00,2026-03-24 16:19:38.097+00,ruth-metar-ksea-20260324-161938097,2026-03-24 16:19:38.114571+00
58,EGLC,12,8,77,220,17,29,9999,"[{""altFt"": 1700, ""cover"": ""BKN""}, {""altFt"": 2300, ""cover"": ""OVC""}]",1009,,EGLC 241620Z AUTO 22017G29KT 9999 BKN017 OVC023 12/08 Q1009,2026-03-24 16:20:00+00,2026-03-24 16:24:17.537+00,ruth-metar-eglc-20260324-162417537,2026-03-24 16:24:17.550179+00
59,LFPG,17,5,45,210,17,,,[],1016,,LFPG 241630Z 21017KT CAVOK 17/05 Q1016 NOSIG,2026-03-24 16:30:00+00,2026-03-24 16:32:17.392+00,ruth-metar-lfpg-20260324-163217392,2026-03-24 16:32:17.408098+00
60,KSEA,6.7,6.1,96,140,4,,,"[{""altFt"": 300, ""cover"": ""SCT""}, {""altFt"": 1100, ""cover"": ""BKN""}, {""altFt"": 3500, ""cover"": ""OVC""}]",,,KSEA 241631Z 14004KT 1SM R16L/P6000FT -RA BR SCT003 BKN011 OVC035 07/06 A2975 RMK AO2 SFC VIS 3 P0010 T00670061 $,2026-03-24 16:31:00+00,2026-03-24 16:33:47.254+00,ruth-metar-ksea-20260324-163347254,2026-03-24 16:33:47.268879+00
61,KORD,6.1,-7.8,36,180,10,,,"[{""altFt"": 9500, ""cover"": ""SCT""}, {""altFt"": 13000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""OVC""}]",,,KORD 241651Z 18010KT 10SM SCT095 BKN130 OVC250 06/M08 A3033 RMK AO2 SLP278 T00611078,2026-03-24 16:51:00+00,2026-03-24 17:00:02.711+00,ruth-metar-kord-20260324-170002711,2026-03-24 17:00:02.847963+00
62,EGLC,12,8,77,220,17,28,9999,"[{""altFt"": 1700, ""cover"": ""BKN""}, {""altFt"": 2200, ""cover"": ""OVC""}]",1008,,EGLC 241650Z AUTO 22017G28KT 9999 BKN017 OVC022 12/08 Q1008,2026-03-24 16:50:00+00,2026-03-24 17:00:02.883+00,ruth-metar-eglc-20260324-170002883,2026-03-24 17:00:02.897313+00
63,KATL,17.8,-7.2,18,100,8,19,,"[{""altFt"": 15000, ""cover"": ""FEW""}, {""altFt"": 20000, ""cover"": ""SCT""}, {""altFt"": 25000, ""cover"": ""SCT""}]",,,KATL 241652Z 10008G19KT 10SM FEW150 SCT200 SCT250 18/M07 A3026 RMK AO2 SLP245 ACC SE S-SW T01781072 $,2026-03-24 16:52:00+00,2026-03-24 17:00:02.898+00,ruth-metar-katl-20260324-170002898,2026-03-24 17:00:02.903868+00
64,KLGA,5.6,-8.9,34,330,4,,,"[{""altFt"": 25000, ""cover"": ""FEW""}]",,,KLGA 241651Z 33004KT 10SM FEW250 06/M09 A3040 RMK AO2 SLP292 T00561089,2026-03-24 16:51:00+00,2026-03-24 17:00:02.997+00,ruth-metar-klga-20260324-170002997,2026-03-24 17:00:03.033845+00
65,KDAL,22.8,13.9,57,110,8,16,,"[{""altFt"": 22000, ""cover"": ""FEW""}, {""altFt"": 25000, ""cover"": ""FEW""}]",,,KDAL 241653Z 11008G16KT 10SM FEW220 FEW250 23/14 A3009 RMK AO2 SLP185 T02280139 $,2026-03-24 16:53:00+00,2026-03-24 17:00:03.074+00,ruth-metar-kdal-20260324-170003074,2026-03-24 17:00:03.083175+00
66,KMIA,27.2,12.2,39,,,,,[],,,KMIA 241653Z VRB04KT 10SM CLR 27/12 A3010 RMK AO2 SLP192 T02720122,2026-03-24 16:53:00+00,2026-03-24 17:00:03.084+00,ruth-metar-kmia-20260324-170003084,2026-03-24 17:00:03.095943+00
67,KSEA,6.7,6.1,96,0,0,,,"[{""altFt"": 600, ""cover"": ""SCT""}, {""altFt"": 1300, ""cover"": ""BKN""}, {""altFt"": 3500, ""cover"": ""OVC""}, {""altFt"": 600, ""cover"": ""SCT""}]",,,KSEA 241653Z 00000KT 1SM R16L/P6000FT -RA BR SCT006 BKN013 OVC035 07/06 A2975 RMK AO2 SFC VIS 2 1/2 SLP081 SCT006 V BKN P0013 T00670061 $,2026-03-24 16:53:00+00,2026-03-24 17:00:03.113+00,ruth-metar-ksea-20260324-170003113,2026-03-24 17:00:03.121936+00
68,LFPG,17,5,45,210,15,,,[],1016,,LFPG 241700Z 21015KT CAVOK 17/05 Q1016 NOSIG,2026-03-24 17:00:00+00,2026-03-24 17:02:19.945+00,ruth-metar-lfpg-20260324-170219945,2026-03-24 17:02:19.958586+00
69,CYYZ,3,-8,44,230,10,18,,"[{""altFt"": 12000, ""cover"": ""FEW""}, {""altFt"": 25000, ""cover"": ""BKN""}]",,,CYYZ 241700Z 23010G18KT 200V270 15SM FEW120 BKN250 03/M08 A3034 RMK AC2CS4 HALO SLP284,2026-03-24 17:00:00+00,2026-03-24 17:07:28.951+00,ruth-metar-cyyz-20260324-170728951,2026-03-24 17:07:28.990307+00
70,KSEA,6.7,6.1,96,300,8,,,"[{""altFt"": 400, ""cover"": ""SCT""}, {""altFt"": 800, ""cover"": ""BKN""}, {""altFt"": 1500, ""cover"": ""OVC""}]",,,KSEA 241714Z 30008KT 1SM R16L/5500VP6000FT +RA BR SCT004 BKN008 OVC015 07/06 A2977 RMK AO2 PRESRR P0004 T00670061 $,2026-03-24 17:14:00+00,2026-03-24 17:16:26.245+00,ruth-metar-ksea-20260324-171626245,2026-03-24 17:16:26.261275+00
71,KSEA,6.7,6.1,96,310,7,,,"[{""altFt"": 300, ""cover"": ""BKN""}, {""altFt"": 1100, ""cover"": ""OVC""}, {""altFt"": 300, ""cover"": ""BKN""}]",,,KSEA 241719Z 31007KT 1SM R16L/5500VP6000FT -RA BR BKN003 OVC011 07/06 A2977 RMK AO2 BKN003 V SCT P0005 T00670061 $,2026-03-24 17:19:00+00,2026-03-24 17:21:24.145+00,ruth-metar-ksea-20260324-172124145,2026-03-24 17:21:24.15953+00
72,EGLC,12,8,77,230,17,,9999,"[{""altFt"": 1600, ""cover"": ""OVC""}]",1008,,EGLC 241720Z AUTO 23017KT 9999 OVC016 12/08 Q1008,2026-03-24 17:20:00+00,2026-03-24 17:24:11.399+00,ruth-metar-eglc-20260324-172411399,2026-03-24 17:24:11.415302+00
73,LFPG,16,5,48,210,12,,,[],1016,,LFPG 241730Z 21012KT CAVOK 16/05 Q1016 NOSIG,2026-03-24 17:30:00+00,2026-03-24 17:32:14.251+00,ruth-metar-lfpg-20260324-173214251,2026-03-24 17:32:14.261847+00
74,KORD,7.2,-9.4,30,210,9,,,"[{""altFt"": 9000, ""cover"": ""BKN""}, {""altFt"": 25000, ""cover"": ""OVC""}]",,7.2,KORD 241751Z 21009KT 10SM BKN090 OVC250 07/M09 A3032 RMK AO2 SLP274 T00721094 10072 21011 58017,2026-03-24 17:51:00+00,2026-03-24 18:00:05.885+00,ruth-metar-kord-20260324-180005885,2026-03-24 18:00:05.90033+00
75,EGLC,12,8,77,230,16,26,9999,"[{""altFt"": 1600, ""cover"": ""OVC""}]",1007,,EGLC 241750Z AUTO 23016G26KT 9999 OVC016 12/08 Q1007,2026-03-24 17:50:00+00,2026-03-24 18:00:05.952+00,ruth-metar-eglc-20260324-180005952,2026-03-24 18:00:05.958752+00
76,KATL,18.3,-6.1,18,100,9,18,,"[{""altFt"": 15000, ""cover"": ""FEW""}, {""altFt"": 20000, ""cover"": ""FEW""}, {""altFt"": 25000, ""cover"": ""SCT""}]",,19.4,KATL 241752Z 10009G18KT 10SM FEW150 FEW200 SCT250 18/M06 A3025 RMK AO2 SLP241 ACC NE E SE-SW T01831061 10194 20111 56014 $,2026-03-24 17:52:00+00,2026-03-24 18:00:05.958+00,ruth-metar-katl-20260324-180005958,2026-03-24 18:00:05.983053+00
77,KLGA,6.7,-9.4,31,0,0,,,"[{""altFt"": 25000, ""cover"": ""FEW""}]",,6.7,KLGA 241751Z 00000KT 10SM FEW250 07/M09 A3037 RMK AO2 SLP283 T00671094 10067 20017 58019,2026-03-24 17:51:00+00,2026-03-24 18:00:05.983+00,ruth-metar-klga-20260324-180005983,2026-03-24 18:00:05.999507+00
78,KDAL,24.4,13.9,52,160,9,16,,"[{""altFt"": 22000, ""cover"": ""FEW""}, {""altFt"": 25000, ""cover"": ""FEW""}]",,24.4,KDAL 241753Z 16009G16KT 10SM FEW220 FEW250 24/14 A3008 RMK AO2 SLP180 T02440139 10244 20161 58010 $,2026-03-24 17:53:00+00,2026-03-24 18:00:10.985+00,ruth-metar-kdal-20260324-180010985,2026-03-24 18:00:10.990885+00
79,KMIA,27.8,12.2,38,0,0,,,"[{""altFt"": 5000, ""cover"": ""FEW""}]",,28.3,KMIA 241753Z 00000KT 10SM FEW050 28/12 A3007 RMK AO2 SLP183 T02780122 10283 20183 58012,2026-03-24 17:53:00+00,2026-03-24 18:00:10.99+00,ruth-metar-kmia-20260324-180010990,2026-03-24 18:00:10.995607+00
