id,trace_id,service,station,level,category,message,metadata,created_at
1762,ruth-pws-cyyz-20260324-161851703,wendy,CYYZ,info,signal,"PWS already anticipated 4°C, skipping duplicate buy",,2026-03-24 16:18:51.70768+00
1763,ruth-metar-ksea-20260324-161938097,wendy,KSEA,info,signal,Threshold crossed: 42-43°F → 44-45°F,,2026-03-24 16:19:38.116051+00
1764,ruth-metar-ksea-20260324-161938097,wendy,KSEA,info,signal,"METAR: 6.7°C, max=6.7°C, bucket=44-45°F","{""prevBucket"": ""42-43°F""}",2026-03-24 16:19:38.117379+00
1765,ruth-metar-ksea-20260324-161938097,wendy,KSEA,info,guard,"Guards blocked: price_out_of_range | METAR 44.1°F, bucket 44-45°F, price 0.00","{""price"": 0.0015, ""bucket"": ""44-45°F""}",2026-03-24 16:19:38.126735+00
1766,ruth-pws-kord-20260324-161950153,wendy,KORD,info,guard,"PWS guards blocked: price_out_of_range | estimated 43.0°F, bucket 42-43°F, price 0.01",,2026-03-24 16:19:50.167034+00
1767,ruth-pws-kord-20260324-161950153,wendy,KORD,info,signal,"PWS anticipation: STRONG (score=0.860), METAR 39.9°F → estimated 43.0°F, bucket 40-41°F → 42-43°F","{""gap"": ""1.16"", ""conf"": ""1.00"", ""ramp"": ""2.65"", ""score"": 0.8599999999999999, ""current"": ""40-41°F"", ""predicted"": ""42-43°F"", ""tEstimated"": ""6.12""}",2026-03-24 16:19:50.167368+00
1768,ruth-pws-klga-20260324-161950338,wendy,KLGA,debug,signal,"PWS anticipation: STRONG (score=0.735), METAR 39.9°F → estimated 36.3°F, bucket 40-41°F → 36-37°F","{""gap"": ""1.49"", ""conf"": ""1.00"", ""ramp"": ""-10.22"", ""score"": 0.7350000000000001, ""current"": ""40-41°F"", ""predicted"": ""36-37°F"", ""tEstimated"": ""2.37""}",2026-03-24 16:19:50.341051+00
1769,ruth-pws-klga-20260324-161950338,wendy,KLGA,info,signal,"PWS already anticipated 44-45°F, skipping duplicate buy",,2026-03-24 16:19:50.341529+00
1770,ruth-pws-kmia-20260324-161950558,wendy,KMIA,info,signal,"PWS already anticipated 82-83°F, skipping duplicate buy",,2026-03-24 16:19:50.561695+00
1771,ruth-pws-kmia-20260324-161950558,wendy,KMIA,info,signal,"PWS anticipation: STRONG (score=1.000), METAR 79.0°F → estimated 85.9°F, bucket 78-79°F → 86-87°F","{""gap"": ""2.90"", ""conf"": ""1.00"", ""ramp"": ""6.06"", ""score"": 1, ""current"": ""78-79°F"", ""predicted"": ""86-87°F"", ""tEstimated"": ""29.95""}",2026-03-24 16:19:50.562264+00
